contributor_id,full_name,profile_status,assignment_eligibility,publishable,profile_gaps,specialty_count,external_url
laura-hilsen,Laura Hilsen,complete,public,true,,15,https://peachtreepsychology.com/therapists/laura-hilsen/
michaela-hilburn,Michaela Hilburn,complete,public,true,,10,https://peachtreepsychology.com/therapists/michaela-hilburn/
liz-webb,Liz Webb,complete,public,true,,9,https://peachtreepsychology.com/therapists/liz-webb/
kelsey-donahue,Kelsey Madsen (Donahue),complete,public,true,,17,https://peachtreepsychology.com/therapists/kelsey-donahue/
jackie-malone,Jackie Malone,complete,public,true,,19,https://peachtreepsychology.com/therapists/jackie-malone/
alex-crenshaw-phd,Dr. Alex Crenshaw,complete,public,true,,14,https://peachtreepsychology.com/therapists/alex-crenshaw/
jeannine-jannot,"Jeannine Jannot, Ph.D.",complete,restricted,true,,13,https://peachtreepsychology.com/jeannine-jannot/
lexi-cooper,Lexi Cooper,complete,public,true,,13,https://peachtreepsychology.com/therapists/lexi-cooper/
meredith-price,Meredith Price,complete,public,true,,25,https://peachtreepsychology.com/therapists/meredith-price/
sarah-evers,Sarah Evers,complete,public,true,,10,https://peachtreepsychology.com/therapists/sarah-evers/
samantha-bryant,Samantha Bryant,complete,public,true,,26,https://peachtreepsychology.com/therapists/samantha-bryant/
erin-benator,Erin Benator,incomplete,report_only,false,report_only_or_intern,11,https://peachtreepsychology.com/therapists/erin-benator/
lynn-lane,Lynn Lane,complete,public,true,,11,https://peachtreepsychology.com/therapists/lynn-lane/
lauren-sanders,Lauren Sanders,complete,public,true,,14,https://peachtreepsychology.com/therapists/lauren-sanders/
susan-keenan,Susan L. Keenan,complete,public,true,,15,https://peachtreepsychology.com/therapists/susan-keenan/
amanda-gaines,Amanda Gaines,complete,public,true,,10,https://peachtreepsychology.com/therapists/amanda-gaines/
