topic,ken_before,high_confidence_reassigned,remaining_if_high_only
addiction-and-recovery,103,103,0
anxiety-and-stress,138,138,0
depression,111,111,0
family-and-parenting,49,49,0
gender-sexuality-and-intimacy,11,11,0
general-mental-health,78,14,64
grief-and-loss,35,35,0
identity-and-self-worth,164,164,0
loneliness-and-belonging,20,0,20
meaning-faith-and-existential-questions,17,17,0
neurodivergence-and-attention,1,1,0
relationships-and-communication,164,164,0
teens-and-identity,40,10,30
therapy-and-care-navigation,31,0,31
trauma-and-safety,34,34,0
work-and-burnout,72,72,0
